state,title,description,tag1,tag2,tag3,tag4,tag5,tag6,Category,gender,caste,ministry,disabilityPercentage,BPL,eligibility,gov_emp,emp_status,student,occupation,appMode,docReq,FAQs,benefits,DBT,benefit_type,marital_status,differently_abled
Puducherry,"""Protected Cultivation"" Component of ""Establishment of New Gardens (Area Expansion)"" Scheme","Through this scheme, the farmers are provided Poly House, Shade Net House (Tubular Structure), Plastic Mulching at subsidised rates for practising Protected Cultivation. In Puducherry, this scheme is implemented by the Department of Agriculture and Farmer's Welfare, Union Territory of Puducherry.",Cultivation,Farmer,Subsidy,Garden,Horticulture,,agriculture,all,GEN,Agriculture,0,any,"Only farmers owning or leasing agricultural land in the state are eligible; Applicants must be engaged in cultivation of the crops mentioned in the scheme guidelines; A valid land ownership document, lease agreement, or registration with an agricultural cooperative is required; Priority will be given to small and marginal farmers with landholding below 5 acres; Farmers already availing subsidies for the same purpose under another scheme will be ineligible.",no,emp,no,Farmer,online,Income Certificate,,5000,no,inkind,any,no
Odisha,"""Reactivation Of Fisheries Cooperative Societies"" Component of the ""Mukhyamantri Maschyajibi Kalyan Yojana"" Scheme","The objective of the ""Reactivation Of Fisheries Cooperative Societies"" scheme is to provide a one-time revolving fund of ₹2,00,000/- to each eligible Primary Fishermen Cooperative Society for working capital of the society and improvement of the socio-economic status of the members in the long run.",Society,Fishermen,Financial Assistance,,,,agriculture,male,GEN,Agriculture,0,yes,"Only farmers owning or leasing agricultural land in the state are eligible; Applicants must be engaged in cultivation of the crops mentioned in the scheme guidelines; A valid land ownership document, lease agreement, or registration with an agricultural cooperative is required; Priority will be given to small and marginal farmers with landholding below 5 acres; Farmers already availing subsidies for the same purpose under another scheme will be ineligible.",no,any,no,Farmer,online,Aadhaar Card; Voter ID; Income Certificate; Caste Certificate,,5000,no,cash,any,no
Puducherry,"""Subsidy for Cultivation of Fodder Crops"" Component of the ""Crop Production Technology"" Scheme","The ""Subsidy for Cultivation of Fodder Crops"" scheme was introduced by the Department of Agriculture and Farmer's Welfare, Union Territory of Puducherry. Through this scheme, cash incentives are distributed to Farmers and Self Help Groups for undertaking fodder cultivation in the Puducherry region.",Subsidy,Cultivation,Fodder,Farmer,Agriculture,,agriculture,all,GEN,Agriculture,0,any,"Only farmers owning or leasing agricultural land in the state are eligible; Applicants must be engaged in cultivation of the crops mentioned in the scheme guidelines; A valid land ownership document, lease agreement, or registration with an agricultural cooperative is required; Priority will be given to small and marginal farmers with landholding below 5 acres; Farmers already availing subsidies for the same purpose under another scheme will be ineligible.",no,selfEmp,no,Farmer,onlineViaCSC,Income Certificate,,50000,yes,both,single,no
Puducherry,"""Subsidy for the Purchase of Fiber-reinforced Plastic Cattamaran/ Vallam/ Wooden Nava/ Marine Plywood Canoe With Nets"" under ""Financial Assistance for Availing Subsidy Components for the Development of Marine Fisheries""","The scheme ""Subsidy for the Purchase of Fiber-reinforced Plastic Cattamaran/ Vallam/ Wooden Nava/ Marine Plywood Canoe With Nets"" is introduced to increase marine fish production by extending subsidies to the fishermen for the procurement of fiber-reinforced plastic vallam with nets.",Subsidy,Boat,Fisherman,Financial Assistance,Procurement,,agriculture,all,GEN,Agriculture,0,yes,Eligible applicants must be registered fishermen who rely on fishing as their primary occupation; A valid fishing license and proof of residence in coastal or inland fishing zones is mandatory; Applicants must not own large commercial fishing vessels; Preference will be given to traditional fishermen using non-mechanized boats; Beneficiaries must not have received financial assistance for fishing equipment in the past two years.,no,any,no,Farmer,offline,Aadhaar Card; Voter ID; Income Certificate; Caste Certificate,,50000,no,cash,single,no
Puducherry,"""Sugarcane Nursery Premium"" Sub-Scheme of the ""Crop Production Technology"" Scheme","The ""Sugarcane Nursery Premium"" Sub-Scheme of the ""Crop Production Technology"" Scheme is introduced by the Dept of Agriculture and Farmer's Welfare, UT of Puducherry. Through this scheme, the farmers are provided Nursery Premium for Raising Seed Material to Plant One Hectare of Sugarcane.",Sugarcane,Nursery,Seed,Financial Assistance,Farmer,,agriculture,all,GEN,Agriculture,0,yes,"Only farmers owning or leasing agricultural land in the state are eligible; Applicants must be engaged in cultivation of the crops mentioned in the scheme guidelines; A valid land ownership document, lease agreement, or registration with an agricultural cooperative is required; Priority will be given to small and marginal farmers with landholding below 5 acres; Farmers already availing subsidies for the same purpose under another scheme will be ineligible.",no,any,yes,Farmer,offline,Aadhaar Card; Voter ID; Income Certificate; Caste Certificate,,5000,no,cash,any,no
Gujarat,AGR 2 (Farm Mechanization) Scheme Of Farmers Other Than SC/ST,"The scheme “AGR 2 (Farm Mechanization) Scheme of Farmers Other Than SC/ST” was started by the Department of Agriculture, Farmers Welfare & Co-operation, Government of Gujarat.",Farmer,Agriculture,Equipment,Mechanization,Financial Assistance,,agriculture,all,GEN,Agriculture,0,yes,"Only farmers owning or leasing agricultural land in the state are eligible; Applicants must be engaged in cultivation of the crops mentioned in the scheme guidelines; A valid land ownership document, lease agreement, or registration with an agricultural cooperative is required; Priority will be given to small and marginal farmers with landholding below 5 acres; Farmers already availing subsidies for the same purpose under another scheme will be ineligible.",no,any,no,Farmer,online,Aadhaar Card; Voter ID; Income Certificate; Caste Certificate,,5000,yes,inkind,married,no
Gujarat,AGR 3 (Farm Mechanization) Scheme For ST Farmers,"The scheme “AGR 3 (Farm Mechanization) Scheme for ST Farmers” was started by the Department of Agriculture, Farmers Welfare & Co-operation, Government of Gujarat.",Agriculture,Farmer,Scheduled Tribe,Adivasi,Mechanization,Equipment,agriculture,all,GEN,Agriculture,0,any,"Only farmers owning or leasing agricultural land in the state are eligible; Applicants must be engaged in cultivation of the crops mentioned in the scheme guidelines; A valid land ownership document, lease agreement, or registration with an agricultural cooperative is required; Priority will be given to small and marginal farmers with landholding below 5 acres; Farmers already availing subsidies for the same purpose under another scheme will be ineligible.",no,selfEmp,no,Farmer,onlineViaCSC,Caste Certificate,,5000,yes,inkind,married,no
Gujarat,AGR 4 (Farm Mechanization) Scheme For SC Farmers,"The scheme “AGR 4 (Farm Mechanization) Scheme for SC Farmers” was started by the Department of Agriculture, Farmers Welfare & Co-operation, Government of Gujarat.",Agriculture,Farmer,Scheduled Caste,Mechanization,Equipment,Financial Assistance,agriculture,all,GEN,Agriculture,0,any,"Only farmers owning or leasing agricultural land in the state are eligible; Applicants must be engaged in cultivation of the crops mentioned in the scheme guidelines; A valid land ownership document, lease agreement, or registration with an agricultural cooperative is required; Priority will be given to small and marginal farmers with landholding below 5 acres; Farmers already availing subsidies for the same purpose under another scheme will be ineligible.",no,any,no,Farmer,onlineViaCSC,Caste Certificate,,5000,yes,both,married,no
Gujarat,AGR-50 Scheme-Assistance To Purchase Tractors,"The scheme “AGR-50 Scheme-Assistance to Purchase Tractors” was started by the Department of Agriculture, Farmers Welfare & Co-operation, Government of Gujarat in the year 2011-12. The scheme was implemented for the farmers to help in buying the tractor in the state.",Agriculture,Farmer,Mechanization,Tractor,Financial Assistance,,agriculture,all,GEN,Agriculture,0,yes,"Only farmers owning or leasing agricultural land in the state are eligible; Applicants must be engaged in cultivation of the crops mentioned in the scheme guidelines; A valid land ownership document, lease agreement, or registration with an agricultural cooperative is required; Priority will be given to small and marginal farmers with landholding below 5 acres; Farmers already availing subsidies for the same purpose under another scheme will be ineligible.",no,any,yes,Farmer,onlineViaCSC,Aadhaar Card; Voter ID; Income Certificate; Caste Certificate,,2011,yes,cash,any,no
Bihar,Aaloo Ke Kufri Chipsona-1 Prabhed Ke Kshetra Vistaar Yojana,The scheme aims to increase the production of Kufri Chipsona variety suitable for potato processing in Bihar by expanding its area and to increase the income of farmers by promoting processing.,Agriculture,Subsidy,Plant Supply,Financial Assistance,Potato,Kufri Chipsona Varient,agriculture,all,GEN,Agriculture,0,yes,"Only farmers owning or leasing agricultural land in the state are eligible; Applicants must be engaged in cultivation of the crops mentioned in the scheme guidelines; A valid land ownership document, lease agreement, or registration with an agricultural cooperative is required; Priority will be given to small and marginal farmers with landholding below 5 acres; Farmers already availing subsidies for the same purpose under another scheme will be ineligible.",no,any,no,Farmer,online,Aadhaar Card; Voter ID; Income Certificate; Caste Certificate,,5000,no,inkind,any,no
Puducherry,"""Annual Insurance Premium for Boat Owners"" under ""Financial Assistance for Availing Subsidy Components for the Development of Marine Fisheries""","""Annual Insurance Premium for Boat Owners"" under ""Financial Assistance for Availing Subsidy Components for the Development of Marine Fisheries"" is introduced to increase marine fish production through subsidies for the annual premiums for insurance coverage paid by the mechanized boat operators.",Insurance,Boat,Marine,Fisheries,Fisherman,,bank,All,GEN,Agriculture,0,any,Eligible applicants must be registered fishermen who rely on fishing as their primary occupation; A valid fishing license and proof of residence in coastal or inland fishing zones is mandatory; Applicants must not own large commercial fishing vessels; Preference will be given to traditional fishermen using non-mechanized boats; Beneficiaries must not have received financial assistance for fishing equipment in the past two years.,no,any,yes,Fisherman,online,Bank Passbook,,1000,no,both,any,no
Jammu and Kashmir,AASRA Scheme,"The scheme “AASRA Scheme” was launched by the Department of Social Welfare, Government of Jammu & Kashmir in 2015 to provide Social Security cover to widows, Destitute, Below Poverty Line families and Breadwinners of such families whose annual income is less than ₹75000/-.",Insurance,Social Welfare,Social Security,Widow,Destitute,,bank,all,GEN,Finance,0,any,"Eligibility criteria for this scheme are unique and strictly based on the applicant’s occupation, economic status, and residency requirements. Please refer to the official guidelines for complete details.",any,any,no,Any,offline,Aadhaar Card; Voter ID; Bank Passbook; Caste Certificate,,75000,no,cash,any,no
Maharashtra,Aam Aadmi Bima Yojana (Maharashtra),"The ""Aam Aadmi Bima Yojana"" scheme is implemented by the Social Justice & Special Assistance Department, Government of Maharashtra. This Centrally Sponsored Scheme is aimed at providing insurance and scholarship benefits to landless labourers in rural areas, aged 18 to 59 years.",Insurance,Scholarship,Accident,Disability,Student,,bank,all,GEN,Finance,85,any,"Only individuals with a certified disability (40% or above) issued by a government medical board are eligible; Applicants must provide disability documents along with proof of residence; Income restrictions may apply depending on the scheme type; The scheme may offer financial aid, assistive devices, or vocational training for disabled individuals; Those already receiving disability pensions or benefits from another government program may not qualify.",any,any,yes,Student,offline,Bank Passbook; School/College ID; Previous Year Marks Card; Disability Certificate; Caste Certificate,,10000,no,both,married,yes
Karnataka,Airavata Scheme,"This scheme envisages partnership with corporate aggregators like OLA and UBER to facilitate self-employment of rural youth through Radio Taxi and other successful cab transport ventures. Rural youth from SC/ST communities will be provided training, mentoring and other enhanced financial assistance.",,,,,,,bank,all,GEN,Finance,0,any,"Eligibility criteria for this scheme are unique and strictly based on the applicant’s occupation, economic status, and residency requirements. Please refer to the official guidelines for complete details.",any,emp,no,Any,online,Aadhaar Card; Voter ID; Income Certificate,,1000,no,cash,single,no
Ministry Of Textiles,Amended Technology Upgradation Fund,"The Ministry of Textiles introduced the Amended Technology Upgradation Fund Scheme (ATUFS). This scheme aims to facilitate investment, employment, productivity, quality and import and export substitution in the textile industry.",Investment,Employment,Productivity,Import,Export,,bank,all,GEN,Finance,0,no,"Eligibility criteria for this scheme are unique and strictly based on the applicant’s occupation, economic status, and residency requirements. Please refer to the official guidelines for complete details.",no,selfEmp,no,Worker,offline,Caste Certificate,,50000,no,both,married,no
Uttarakhand,Anganwadi Workers Welfare Fund,"“Anganwadi Workers Welfare Fund” is a social security scheme by the Department of Women Empowerment and Child Development, Government of Uttarakhand, that provides financial assistance to the anganwadi worker/helper of the state.",Anganwadi Workers,Women,Provident Fund,,,,bank,female,GEN,Finance,0,any,"Open to women entrepreneurs, self-help group members, widows, or single mothers; Applicants must provide income proof or a business plan in case of entrepreneurship schemes; Only state residents are eligible; Special preference will be given to women from economically weaker backgrounds and victims of domestic violence; Applicants availing similar benefits under another government initiative will not be considered.",any,emp,no,Worker,online,Aadhaar Card; Voter ID; Income Certificate,,1000,yes,inkind,any,no
Jharkhand,Annath Pension Yojana (JBOCWWB),"""Annath Pension Yojana (JBOCWWB)"" is a scheme by the Department of Labour, Employment, Training & Skill Development Govt of Jharkhand. In case of the death of the pensioner, the pension will be payable at the rate of the family pension and will be evenly divided among orphans below 18 years of age.",Pension,Orphan,Construction Worker,Social Welfare,Financial Assistance,,bank,all,GEN,Finance,0,yes,"Applicable for individuals working in unorganized sectors such as farming, fishing, or small-scale industries; Applicants must fall within the specified age group mentioned in the scheme guidelines; A valid identity card, income proof, and proof of occupation must be submitted; Applicants must not be covered under another government-funded pension or insurance scheme; In case of disability insurance, a government-certified disability certificate is mandatory.",no,emp,no,Worker,offline,Aadhaar Card; Voter ID; Income Certificate; Caste Certificate,,1000,yes,cash,married,no
Assam,Aponar Apon Ghar,"""Aponar Apon Ghar"" is a Home Loan Subsidy Scheme by the Finance Department, Govt. of Assam. The objective is to realize the vision of “Housing For All” by 2022 so that each poor person may have their own house. All the applicants will get home loans at subsidized interest rates.",Loan,Subsidy,,,,,bank,all,GEN,Finance,0,no,"Eligibility criteria for this scheme are unique and strictly based on the applicant’s occupation, economic status, and residency requirements. Please refer to the official guidelines for complete details.",any,any,no,Any,online,Aadhaar Card; Voter ID; Income Certificate; Bank Passbook,,2022,no,both,single,no
Karnataka,Arivu Education Loan Scheme,"The ""Arivu Education Loan Scheme,"" launched by the Minorities Welfare Department, Government of Karnataka, and implemented by the Karnataka Minorities Development Corporation, offers loans to students pursuing professional courses like MBBS, B.E., B.Tech., MBA, MCA, LLB, and others in various fields",Student,Loan,Minority Community,,,,bank,all,GEN,Minority Affairs,0,no,"Eligible students must be enrolled in a recognized school, college, or vocational training institute; Minimum academic performance criteria may apply, as specified in the scheme; Proof of enrollment and income certificate of parents/guardians are mandatory; Students receiving another scholarship for the same academic year are not eligible; Preference will be given to students from economically weaker sections and first-generation learners.",any,selfEmp,yes,Student,offline,Aadhaar Card; Voter ID; Bank Passbook; School/College ID; Previous Year Marks Card; Caste Certificate,,10000,yes,inkind,any,no
Goa,Ashraya Adhar Scheme,"""Ashraya Adhar Scheme"" is introduced to provide financial assistance in the form of loans to the members of Scheduled Tribes for the purpose of repair, renovation/reconstruction of houses. The Goa State Scheduled Tribes Finance and Development Corporation has introduced this scheme.",House,Loan,Scheduled Tribe,Social Welfare,ST,,bank,all,ST,all,0,no,"Eligibility criteria for this scheme are unique and strictly based on the applicant’s occupation, economic status, and residency requirements. Please refer to the official guidelines for complete details.",yes,any,yes,Any,onlineViaCSC,Aadhaar Card; Voter ID; Bank Passbook; Caste Certificate,,1000,yes,inkind,any,no
Assam,Assam Abhinandan Education Loan Subsidy Scheme,"""Assam Abhinandan Education Loan Subsidy Scheme"" was launched on 26 December 2019 by the Hon'ble Chief Minister of Assam. The scheme is managed by the Finance Department, Govt. of Assam. The govt. will provide a loan subsidy of up to ₹ 50,000 on education loans to students pursuing higher education.",Education,Loan,Student,,,,bank,all,GEN,all,0,no,"Eligible applicants must be farmers, fishermen, or self-employed individuals requiring financial aid for equipment purchase; Applicants must provide a detailed proposal explaining the necessity and usage of the equipment; Proof of professional engagement, such as a farmer registration card or business license, is required; Only residents of the state can apply; Applicants must not have received subsidies for similar equipment under government schemes in the past three years.",any,any,yes,Student,online,Aadhaar Card; Voter ID; Bank Passbook; School/College ID; Previous Year Marks Card; Caste Certificate,,2019,yes,inkind,any,no
Assam,Assam Orunodoi Scheme,"""Orunodoi"" or ""Arunodoi"" Scheme is a new scheme of the Government of Assam is launched on 2nd October 2020. Under ‘Orunodoi’, monetary  benefits has been envisaged for more than 24 lac poor household in the state",Female,Financial Assistance,DBT,Women,Household,,bank,all,GEN,all,0,yes,"Open to women entrepreneurs, self-help group members, widows, or single mothers; Applicants must provide income proof or a business plan in case of entrepreneurship schemes; Only state residents are eligible; Special preference will be given to women from economically weaker backgrounds and victims of domestic violence; Applicants availing similar benefits under another government initiative will not be considered.",no,any,no,Unemployed,onlineViaCSC,Aadhaar Card; Voter ID; Income Certificate; Bank Passbook; Caste Certificate,,2020,no,both,married,no
Haryana,Assistance for Purchase of House (HBOCWWB),"Under this scheme, interest free loan is provided to registered construction workers, who have minimum five year’s regular membership, for purchase or construction of their houses. This facility is available once in lifetime.",House,Building Worker,Construction Worker,Labour,Loan,,bank,all,GEN,all,0,no,"Eligibility criteria for this scheme are unique and strictly based on the applicant’s occupation, economic status, and residency requirements. Please refer to the official guidelines for complete details.",any,emp,no,Worker,onlineViaCSC,Aadhaar Card; Voter ID; Bank Passbook; Caste Certificate,,200000,yes,both,married,no
Ministry Of Labour and Employment,Atal Beemit Vyakti Kalyan Yojana,The scheme “Atal Beemit Vyakti Kalyan Yojana (ABVKY)” was introduced by the Employees’ State Insurance Corporation (ESIC) on a pilot basis for a period of 2 years w.e.f. 01.07.2018 for providing relief to the Insured Persons (IPs) who have become unemployed.,Atal,Employee,Insurance,Insured Person,Unemployment,,bank,all,GEN,Finance,0,any,"Eligibility criteria for this scheme are unique and strictly based on the applicant’s occupation, economic status, and residency requirements. Please refer to the official guidelines for complete details.",any,any,no,Worker,onlineViaCSC,Bank Passbook,,2018,yes,both,married,no
Ministry Of Finance,Atal Pension Yojana,"Atal Pension Yojana (APY) is an old age income security scheme for a  savings account holder  in the age group of 18-40 years,  who is not an income tax-payee. It helps to address longevity risks among  workers in unorganized sector and encourages the workers to voluntarily save for retirement.",Pension,Unorganized Workers,Bank Account Holders,,,,bank,all,GEN,all,0,yes,"Applicable for individuals working in unorganized sectors such as farming, fishing, or small-scale industries; Applicants must fall within the specified age group mentioned in the scheme guidelines; A valid identity card, income proof, and proof of occupation must be submitted; Applicants must not be covered under another government-funded pension or insurance scheme; In case of disability insurance, a government-certified disability certificate is mandatory.",no,emp,no,Worker,online,Aadhaar Card; Voter ID; Income Certificate,,1000,no,inkind,any,no
Tamil Nadu,Back Ended Interest Subsidy (BEIS),"""Back Ended Interest Subsidy"" by the Govt of Tamil Nadu, is introduced with the objective of reducing financial burdens of all new micro and small manufacturing enterprises who have already availed loans from banks/ other government organizations by assisting them through a subsidy on term loans.",Interest,Subsidy,MSME,Enterprise,Loan,,bank,all,GEN,Finance,0,no,"Eligible applicants must be farmers, fishermen, or self-employed individuals requiring financial aid for equipment purchase; Applicants must provide a detailed proposal explaining the necessity and usage of the equipment; Proof of professional engagement, such as a farmer registration card or business license, is required; Only residents of the state can apply; Applicants must not have received subsidies for similar equipment under government schemes in the past three years.",no,selfEmp,yes,Any,online,Aadhaar Card; Voter ID; Income Certificate; Bank Passbook; Caste Certificate,,50000,yes,cash,single,no
Punjab,Bank Tie-Up Scheme,"Through the ""Bank Tie-Up Scheme"", the Punjab Scheduled Castes Land Development & Finance Corporation (PSCLDFC) arranges loans through banks, and subsidy is provided by PSCLDFC. The permanent residents of Punjab belonging to Scheduled Castes and living Below Poverty Line are eligible.",Loan,Scheduled Caste,Below Poverty Line,Social Welfare,Subsidy,,bank,all,GEN,Finance,0,no,"Eligibility criteria for this scheme are unique and strictly based on the applicant’s occupation, economic status, and residency requirements. Please refer to the official guidelines for complete details.",yes,emp,no,Any,online,Aadhaar Card; Voter ID; Income Certificate; Bank Passbook; Caste Certificate; Ration Card,,50000,yes,cash,married,no
